common_name,season,environment_factor,selected_month,month_name,correlation,absolute_correlation,n_years,correlation_direction,correlation_strength,group
Baillon's Crake,Autumn,prcp,9.0,September,0.8827087413173205,0.8827087413173205,6,Positive,Very Strong,Top 10%
Black-browed Reed Warbler,Autumn,prcp,9.0,September,0.9379813077900742,0.9379813077900742,9,Positive,Very Strong,Top 10%
Manchurian Reed Warbler,Autumn,prcp,9.0,September,0.8845261610523443,0.8845261610523443,6,Positive,Very Strong,Top 10%
Radde's Warbler,Autumn,prcp,10.0,October,0.8211115650565181,0.8211115650565181,9,Positive,Very Strong,Top 10%
Taiga Flycatcher,Autumn,prcp,9.0,September,0.8237489946028265,0.8237489946028265,9,Positive,Very Strong,Top 10%
Yellow-browed Warbler,Autumn,prcp,10.0,October,0.9618904467869134,0.9618904467869134,9,Positive,Very Strong,Top 10%
harrier sp.,Autumn,prcp,9.0,September,-0.9003823842768593,0.9003823842768593,5,Negative,Very Strong,Top 10%
Brambling,Winter,prcp,12.0,December,0.7875611010639731,0.7875611010639731,9,Positive,Strong,Top 10%
Coal Tit,Winter,prcp,12.0,December,0.8197208454584461,0.8197208454584461,6,Positive,Very Strong,Top 10%
Collared Finchbill,Winter,prcp,12.0,December,-0.783673568924361,0.783673568924361,5,Negative,Strong,Top 10%
Dusky/Naumann's Thrush,Winter,prcp,2.0,February,0.8998388678038342,0.8998388678038342,8,Positive,Very Strong,Top 10%
Eurasian Eagle-Owl,Winter,prcp,2.0,February,0.9285433145047594,0.9285433145047594,5,Positive,Very Strong,Top 10%
Eurasian Siskin,Winter,prcp,2.0,February,0.8301104018457364,0.8301104018457364,7,Positive,Very Strong,Top 10%
Lapland Longspur,Winter,prcp,2.0,February,0.8304924183622309,0.8304924183622309,6,Positive,Very Strong,Top 10%
Mute Swan,Winter,prcp,2.0,February,0.7903540387627396,0.7903540387627396,5,Positive,Strong,Top 10%
Water Rail,Winter,prcp,1.0,January,0.7884182230407122,0.7884182230407122,6,Positive,Strong,Top 10%
White-capped Redstart,Winter,prcp,1.0,January,0.8720763392675548,0.8720763392675548,7,Positive,Very Strong,Top 10%
