common_name,season,environment_factor,selected_month,month_name,correlation,absolute_correlation,n_years
Black Swan,Spring,temperature,3.0,March,0.6824589152397283,0.6824589152397283,8
Black Swan,Spring,humidity,5.0,May,0.6875758259536399,0.6875758259536399,6
Black Swan,Spring,prcp,5.0,May,0.8236558150712536,0.8236558150712536,6
Black-bellied Plover,Spring,temperature,,,,,0
Black-bellied Plover,Spring,humidity,,,,,0
Black-bellied Plover,Spring,prcp,,,,,0
Black-faced Bunting,Spring,temperature,4.0,April,-0.44800082505137895,0.44800082505137895,9
Black-faced Bunting,Spring,humidity,3.0,March,-0.4998712684445874,0.4998712684445874,8
Black-faced Bunting,Spring,prcp,5.0,May,-0.26369240210780687,0.26369240210780687,9
Black-headed Gull,Spring,temperature,5.0,May,0.2201493789722871,0.2201493789722871,9
Black-headed Gull,Spring,humidity,5.0,May,-0.4218387440478228,0.4218387440478228,9
Black-headed Gull,Spring,prcp,5.0,May,-0.40474483850545845,0.40474483850545845,9
Black-legged Kittiwake,Spring,temperature,,,,,0
Black-legged Kittiwake,Spring,humidity,,,,,0
Black-legged Kittiwake,Spring,prcp,,,,,0
Black-tailed Godwit,Spring,temperature,4.0,April,-0.35327689858159145,0.35327689858159145,7
Black-tailed Godwit,Spring,humidity,5.0,May,-0.32706779244380085,0.32706779244380085,9
Black-tailed Godwit,Spring,prcp,4.0,April,0.18458878119037767,0.18458878119037767,7
Black-winged Cuckooshrike,Spring,temperature,,,,,0
Black-winged Cuckooshrike,Spring,humidity,,,,,0
Black-winged Cuckooshrike,Spring,prcp,,,,,0
Black-winged Stilt,Spring,temperature,4.0,April,-0.30580381825292907,0.30580381825292907,9
Black-winged Stilt,Spring,humidity,5.0,May,-0.5277197081156415,0.5277197081156415,9
Black-winged Stilt,Spring,prcp,5.0,May,-0.7343001989321479,0.7343001989321479,9
Bluethroat,Spring,temperature,4.0,April,-0.11252601119266224,0.11252601119266224,6
Bluethroat,Spring,humidity,5.0,May,-0.7272747473357176,0.7272747473357176,9
Bluethroat,Spring,prcp,4.0,April,0.45904587760023335,0.45904587760023335,6
Blyth's Pipit,Spring,temperature,5.0,May,0.38055694934111595,0.38055694934111595,8
Blyth's Pipit,Spring,humidity,5.0,May,-0.4066175637962415,0.4066175637962415,8
Blyth's Pipit,Spring,prcp,5.0,May,-0.5443158077562551,0.5443158077562551,8
Booted Eagle,Spring,temperature,4.0,April,0.3621681328495062,0.3621681328495062,7
Booted Eagle,Spring,humidity,5.0,May,-0.7915272427190299,0.7915272427190299,7
Booted Eagle,Spring,prcp,5.0,May,-0.3948714406527846,0.3948714406527846,7
Brambling,Spring,temperature,5.0,May,-0.7346213296282215,0.7346213296282215,9
Brambling,Spring,humidity,4.0,April,-0.261677661300774,0.261677661300774,9
Brambling,Spring,prcp,3.0,March,0.549207234169451,0.549207234169451,9
Brown Eared-Pheasant,Spring,temperature,,,,,0
Brown Eared-Pheasant,Spring,humidity,,,,,0
Brown Eared-Pheasant,Spring,prcp,,,,,0
Calidris sp.,Spring,temperature,,,,,0
Calidris sp.,Spring,humidity,,,,,0
Calidris sp.,Spring,prcp,,,,,0
Chestnut Bunting,Spring,temperature,5.0,May,-0.30422440919238053,0.30422440919238053,9
Chestnut Bunting,Spring,humidity,5.0,May,-0.22294714884260258,0.22294714884260258,9
Chestnut Bunting,Spring,prcp,5.0,May,-0.008611980042145834,0.008611980042145834,9
Chestnut-eared Bunting,Spring,temperature,5.0,May,0.28026360987133475,0.28026360987133475,9
Chestnut-eared Bunting,Spring,humidity,5.0,May,-0.8460424574608622,0.8460424574608622,9
Chestnut-eared Bunting,Spring,prcp,4.0,April,0.5185760232513794,0.5185760232513794,5
Chinese Penduline-Tit,Spring,temperature,5.0,May,0.7634047724076474,0.7634047724076474,9
Chinese Penduline-Tit,Spring,humidity,5.0,May,-0.4395824226357926,0.4395824226357926,9
Chinese Penduline-Tit,Spring,prcp,5.0,May,-0.6502953934998321,0.6502953934998321,9
Chinese Sparrowhawk,Spring,temperature,5.0,May,-0.016715664583328838,0.016715664583328838,9
Chinese Sparrowhawk,Spring,humidity,5.0,May,0.43239626494885625,0.43239626494885625,9
Chinese Sparrowhawk,Spring,prcp,5.0,May,0.8280193276563854,0.8280193276563854,9
Chinese Thrush,Spring,temperature,4.0,April,0.16913945503397837,0.16913945503397837,8
Chinese Thrush,Spring,humidity,4.0,April,-0.4441470786467672,0.4441470786467672,8
Chinese Thrush,Spring,prcp,4.0,April,-0.4277504343298584,0.4277504343298584,8
Citrine Wagtail,Spring,temperature,4.0,April,-0.20883394122490934,0.20883394122490934,9
Citrine Wagtail,Spring,humidity,5.0,May,-0.5906036244359698,0.5906036244359698,9
Citrine Wagtail,Spring,prcp,5.0,May,-0.6211893516623223,0.6211893516623223,9
Claudia's Leaf Warbler,Spring,temperature,5.0,May,-0.4115735532097655,0.4115735532097655,9
Claudia's Leaf Warbler,Spring,humidity,5.0,May,0.4869110317887411,0.4869110317887411,9
Claudia's Leaf Warbler,Spring,prcp,4.0,April,-0.7273489755516219,0.7273489755516219,9
Coal Tit,Spring,temperature,4.0,April,0.23222765073287868,0.23222765073287868,7
Coal Tit,Spring,humidity,5.0,May,0.45379591214843845,0.45379591214843845,9
Coal Tit,Spring,prcp,5.0,May,0.8087006629949186,0.8087006629949186,9
Collared Crow,Spring,temperature,,,,,0
Collared Crow,Spring,humidity,,,,,0
Collared Crow,Spring,prcp,,,,,0
Common Goldeneye,Spring,temperature,3.0,March,-0.46570733778574114,0.46570733778574114,9
Common Goldeneye,Spring,humidity,3.0,March,0.07784308629561985,0.07784308629561985,9
Common Goldeneye,Spring,prcp,3.0,March,0.24279451077567685,0.24279451077567685,9
Common Greenshank,Spring,temperature,4.0,April,-0.5638881041953393,0.5638881041953393,8
Common Greenshank,Spring,humidity,5.0,May,-0.840792269063741,0.840792269063741,9
Common Greenshank,Spring,prcp,5.0,May,-0.49686185762278623,0.49686185762278623,9
Common Gull,Spring,temperature,4.0,April,-0.4323223301132426,0.4323223301132426,8
Common Gull,Spring,humidity,3.0,March,-0.36204747216543026,0.36204747216543026,7
Common Gull,Spring,prcp,4.0,April,-0.47809491855504094,0.47809491855504094,8
Common Pochard,Spring,temperature,3.0,March,-0.32133145091204873,0.32133145091204873,9
Common Pochard,Spring,humidity,4.0,April,0.45496057227460523,0.45496057227460523,9
Common Pochard,Spring,prcp,4.0,April,0.763667342303239,0.763667342303239,9
Common Pochard x Ferruginous Duck (hybrid),Spring,temperature,,,,,0
Common Pochard x Ferruginous Duck (hybrid),Spring,humidity,,,,,0
Common Pochard x Ferruginous Duck (hybrid),Spring,prcp,,,,,0
Common Redshank,Spring,temperature,4.0,April,-0.17704859759172276,0.17704859759172276,9
Common Redshank,Spring,humidity,5.0,May,-0.6971699319615738,0.6971699319615738,9
Common Redshank,Spring,prcp,5.0,May,-0.6588507933573639,0.6588507933573639,9
Common Sandpiper,Spring,temperature,5.0,May,0.1922473214685383,0.1922473214685383,9
Common Sandpiper,Spring,humidity,5.0,May,-0.8536041586525996,0.8536041586525996,9
Common Sandpiper,Spring,prcp,3.0,March,0.9457258347443738,0.9457258347443738,7
Common Shelduck,Spring,temperature,4.0,April,-0.677942259586579,0.677942259586579,8
Common Shelduck,Spring,humidity,5.0,May,-0.7721341713913732,0.7721341713913732,9
Common Shelduck,Spring,prcp,5.0,May,-0.4668547915731809,0.4668547915731809,9
Common Snipe,Spring,temperature,5.0,May,-0.6844508339529615,0.6844508339529615,9
Common Snipe,Spring,humidity,4.0,April,-0.13511614701836624,0.13511614701836624,9
Common Snipe,Spring,prcp,5.0,May,-0.23995598071115654,0.23995598071115654,9
Common Swift,Spring,temperature,5.0,May,0.6896944648997504,0.6896944648997504,9
Common Swift,Spring,humidity,4.0,April,-0.05248421015510364,0.05248421015510364,9
Common Swift,Spring,prcp,3.0,March,-0.4567092744276329,0.4567092744276329,7
Common Tern,Spring,temperature,5.0,May,-0.43666317216678624,0.43666317216678624,9
Common Tern,Spring,humidity,4.0,April,0.36813780991486195,0.36813780991486195,9
Common Tern,Spring,prcp,5.0,May,0.18027718725993316,0.18027718725993316,9
Crested Goshawk,Spring,temperature,,,,,0
Crested Goshawk,Spring,humidity,,,,,0
Crested Goshawk,Spring,prcp,,,,,0
Crested Lark,Spring,temperature,3.0,March,-0.05831558079669677,0.05831558079669677,8
Crested Lark,Spring,humidity,5.0,May,-0.7467006309461598,0.7467006309461598,5
Crested Lark,Spring,prcp,5.0,May,-0.7521020176369577,0.7521020176369577,5
Curlew Sandpiper,Spring,temperature,5.0,May,0.4025418160936812,0.4025418160936812,9
Curlew Sandpiper,Spring,humidity,5.0,May,-0.021479587113222592,0.021479587113222592,9
Curlew Sandpiper,Spring,prcp,5.0,May,-0.04442563274831957,0.04442563274831957,9
Dalmatian Pelican,Spring,temperature,,,,,0
Dalmatian Pelican,Spring,humidity,,,,,0
Dalmatian Pelican,Spring,prcp,,,,,0
Dark-sided Flycatcher,Spring,temperature,5.0,May,-0.6698205979756359,0.6698205979756359,9
Dark-sided Flycatcher,Spring,humidity,5.0,May,0.7361216555301882,0.7361216555301882,9
Dark-sided Flycatcher,Spring,prcp,5.0,May,0.6478876055840618,0.6478876055840618,9
Daurian Jackdaw,Spring,temperature,3.0,March,-0.5926947060571909,0.5926947060571909,9
Daurian Jackdaw,Spring,humidity,3.0,March,0.3527697325687179,0.3527697325687179,9
Daurian Jackdaw,Spring,prcp,5.0,May,-0.3479076308915478,0.3479076308915478,7
Daurian Starling,Spring,temperature,4.0,April,0.6239296184091448,0.6239296184091448,7
Daurian Starling,Spring,humidity,5.0,May,0.3268790348195284,0.3268790348195284,9
Daurian Starling,Spring,prcp,4.0,April,-0.19876623803577134,0.19876623803577134,7
Demoiselle Crane,Spring,temperature,,,,,0
Demoiselle Crane,Spring,humidity,,,,,0
Demoiselle Crane,Spring,prcp,,,,,0
Dendrocopos sp.,Spring,temperature,,,,,0
Dendrocopos sp.,Spring,humidity,,,,,0
Dendrocopos sp.,Spring,prcp,,,,,0
Domestic goose sp. (Domestic type),Spring,temperature,,,,,0
Domestic goose sp. (Domestic type),Spring,humidity,,,,,0
Domestic goose sp. (Domestic type),Spring,prcp,,,,,0
Dusky Warbler,Spring,temperature,5.0,May,-0.27598527744091683,0.27598527744091683,9
Dusky Warbler,Spring,humidity,5.0,May,-0.43681837168174015,0.43681837168174015,9
Dusky Warbler,Spring,prcp,5.0,May,-0.09280459819138971,0.09280459819138971,9
Eared Grebe,Spring,temperature,5.0,May,-0.3180780951232443,0.3180780951232443,7
Eared Grebe,Spring,humidity,4.0,April,-0.38309029002362294,0.38309029002362294,9
Eared Grebe,Spring,prcp,5.0,May,0.19739721822797246,0.19739721822797246,7
Eastern Buzzard,Spring,temperature,5.0,May,-0.6736416029566789,0.6736416029566789,9
Eastern Buzzard,Spring,humidity,3.0,March,0.40838629389581943,0.40838629389581943,9
Eastern Buzzard,Spring,prcp,3.0,March,-0.3642391118971409,0.3642391118971409,9
Eastern Cattle-Egret,Spring,temperature,5.0,May,0.5249191621235947,0.5249191621235947,9
Eastern Cattle-Egret,Spring,humidity,5.0,May,-0.6720326592711668,0.6720326592711668,9
Eastern Cattle-Egret,Spring,prcp,5.0,May,-0.2513820449926413,0.2513820449926413,9
Eastern Crowned Warbler,Spring,temperature,5.0,May,-0.2719936203749013,0.2719936203749013,9
Eastern Crowned Warbler,Spring,humidity,5.0,May,0.6242263988408101,0.6242263988408101,9
Eastern Crowned Warbler,Spring,prcp,4.0,April,-0.5930895733269527,0.5930895733269527,7
Eastern Marsh Harrier,Spring,temperature,4.0,April,0.47826235127139216,0.47826235127139216,9
Eastern Marsh Harrier,Spring,humidity,4.0,April,0.38593938766675406,0.38593938766675406,9
Eastern Marsh Harrier,Spring,prcp,4.0,April,0.5864349901802228,0.5864349901802228,9
Eastern Red-rumped Swallow,Spring,temperature,3.0,March,0.40996618084115366,0.40996618084115366,7
Eastern Red-rumped Swallow,Spring,humidity,3.0,March,-0.7016808763569526,0.7016808763569526,7
Eastern Red-rumped Swallow,Spring,prcp,4.0,April,0.45549128865379285,0.45549128865379285,9
Eastern Yellow Wagtail,Spring,temperature,4.0,April,0.13597932908709265,0.13597932908709265,9
Eastern Yellow Wagtail,Spring,humidity,5.0,May,-0.775697101322139,0.775697101322139,9
Eastern Yellow Wagtail,Spring,prcp,5.0,May,-0.31861974907183027,0.31861974907183027,9
Eurasian Crag-Martin,Spring,temperature,5.0,May,0.3660988892108925,0.3660988892108925,6
Eurasian Crag-Martin,Spring,humidity,3.0,March,0.16812141045077478,0.16812141045077478,8
Eurasian Crag-Martin,Spring,prcp,5.0,May,0.4112561632382712,0.4112561632382712,6
Eurasian Curlew,Spring,temperature,5.0,May,0.7320564209026315,0.7320564209026315,6
Eurasian Curlew,Spring,humidity,4.0,April,0.36281569179203627,0.36281569179203627,7
Eurasian Curlew,Spring,prcp,3.0,March,0.40812981199518794,0.40812981199518794,6
Eurasian Goshawk,Spring,temperature,5.0,May,-0.26829978740867066,0.26829978740867066,5
Eurasian Goshawk,Spring,humidity,5.0,May,-0.21688605664086089,0.21688605664086089,5
Eurasian Goshawk,Spring,prcp,3.0,March,0.3256052968191244,0.3256052968191244,9
Eurasian Nuthatch,Spring,temperature,4.0,April,-0.40294197784190694,0.40294197784190694,8
Eurasian Nuthatch,Spring,humidity,3.0,March,0.7413355622138955,0.7413355622138955,9
Eurasian Nuthatch,Spring,prcp,3.0,March,0.6854349946708982,0.6854349946708982,9
Eurasian Skylark,Spring,temperature,5.0,May,-0.4911592138633805,0.4911592138633805,6
Eurasian Skylark,Spring,humidity,5.0,May,-0.2873547589501678,0.2873547589501678,6
Eurasian Skylark,Spring,prcp,3.0,March,0.5545956548666201,0.5545956548666201,9
Eurasian Spoonbill,Spring,temperature,5.0,May,0.3056612269227949,0.3056612269227949,9
Eurasian Spoonbill,Spring,humidity,5.0,May,-0.9137723036053734,0.9137723036053734,9
Eurasian Spoonbill,Spring,prcp,4.0,April,0.5092163054769472,0.5092163054769472,9
Eurasian Whimbrel,Spring,temperature,5.0,May,0.029815638155843854,0.029815638155843854,8
Eurasian Whimbrel,Spring,humidity,5.0,May,-0.4871070857137805,0.4871070857137805,8
Eurasian Whimbrel,Spring,prcp,5.0,May,-0.7613771660779242,0.7613771660779242,8
Eurasian Wigeon,Spring,temperature,5.0,May,-0.6226804757118997,0.6226804757118997,7
Eurasian Wigeon,Spring,humidity,4.0,April,0.6166959822549453,0.6166959822549453,9
Eurasian Wigeon,Spring,prcp,4.0,April,0.5082844669973553,0.5082844669973553,9
Eurasian Woodcock,Spring,temperature,4.0,April,0.1422185881453291,0.1422185881453291,9
Eurasian Woodcock,Spring,humidity,4.0,April,-0.02142563521392811,0.02142563521392811,9
Eurasian Woodcock,Spring,prcp,4.0,April,0.06361035297421237,0.06361035297421237,9
Eurasian Wryneck,Spring,temperature,5.0,May,0.48263211043802584,0.48263211043802584,9
Eurasian Wryneck,Spring,humidity,4.0,April,0.8576321365036983,0.8576321365036983,6
Eurasian Wryneck,Spring,prcp,4.0,April,0.7391927510333935,0.7391927510333935,6
European Starling,Spring,temperature,3.0,March,-0.3708251013681149,0.3708251013681149,8
European Starling,Spring,humidity,3.0,March,0.45064295101374097,0.45064295101374097,8
European Starling,Spring,prcp,3.0,March,0.2860291338765723,0.2860291338765723,8
Eyebrowed Thrush,Spring,temperature,5.0,May,-0.5450702616926921,0.5450702616926921,9
Eyebrowed Thrush,Spring,humidity,5.0,May,-0.2007610344174435,0.2007610344174435,9
Eyebrowed Thrush,Spring,prcp,5.0,May,-0.21958513348064115,0.21958513348064115,9
Falcated Duck,Spring,temperature,3.0,March,-0.24935743631529986,0.24935743631529986,9
Falcated Duck,Spring,humidity,5.0,May,0.6885277535906124,0.6885277535906124,8
Falcated Duck,Spring,prcp,5.0,May,0.7628849812100756,0.7628849812100756,8
Ferruginous Duck,Spring,temperature,4.0,April,0.29883176475447154,0.29883176475447154,9
Ferruginous Duck,Spring,humidity,4.0,April,0.525431515832463,0.525431515832463,9
Ferruginous Duck,Spring,prcp,4.0,April,0.7645184203488008,0.7645184203488008,9
Ferruginous Duck x Baer's Pochard (hybrid),Spring,temperature,,,,,0
Ferruginous Duck x Baer's Pochard (hybrid),Spring,humidity,,,,,0
Ferruginous Duck x Baer's Pochard (hybrid),Spring,prcp,,,,,0
Ferruginous Duck/Baer's Pochard,Spring,temperature,,,,,0
Ferruginous Duck/Baer's Pochard,Spring,humidity,,,,,0
Ferruginous Duck/Baer's Pochard,Spring,prcp,,,,,0
Forest Wagtail,Spring,temperature,5.0,May,-0.3738825840824965,0.3738825840824965,9
Forest Wagtail,Spring,humidity,5.0,May,0.30109198700550255,0.30109198700550255,9
Forest Wagtail,Spring,prcp,5.0,May,0.5609289983577153,0.5609289983577153,9
Garganey,Spring,temperature,5.0,May,-0.5468409555970783,0.5468409555970783,9
Garganey,Spring,humidity,3.0,March,-0.45543905271280355,0.45543905271280355,8
Garganey,Spring,prcp,3.0,March,-0.2851423245620941,0.2851423245620941,8
Gray Nightjar,Spring,temperature,5.0,May,-0.2017708952546751,0.2017708952546751,9
Gray Nightjar,Spring,humidity,5.0,May,-0.20816906031048402,0.20816906031048402,9
Gray Nightjar,Spring,prcp,5.0,May,-0.15762507155286257,0.15762507155286257,9
Gray-faced Buzzard,Spring,temperature,3.0,March,-0.6844937826243395,0.6844937826243395,5
Gray-faced Buzzard,Spring,humidity,3.0,March,0.30826466051614154,0.30826466051614154,5
Gray-faced Buzzard,Spring,prcp,3.0,March,-0.5671317948102716,0.5671317948102716,5
Gray-headed Lapwing,Spring,temperature,5.0,May,0.5951743257351976,0.5951743257351976,9
Gray-headed Lapwing,Spring,humidity,5.0,May,-0.8204745416434758,0.8204745416434758,9
Gray-headed Lapwing,Spring,prcp,5.0,May,-0.5638008495439233,0.5638008495439233,9
Gray-streaked Flycatcher,Spring,temperature,5.0,May,0.002304559009310879,0.002304559009310879,9
Gray-streaked Flycatcher,Spring,humidity,5.0,May,0.6638918141201432,0.6638918141201432,9
Gray-streaked Flycatcher,Spring,prcp,5.0,May,0.5476291894127451,0.5476291894127451,9
Graylag Goose,Spring,temperature,3.0,March,-0.2782723665185477,0.2782723665185477,9
Graylag Goose,Spring,humidity,3.0,March,0.4723201285990833,0.4723201285990833,9
Graylag Goose,Spring,prcp,5.0,May,0.35998037697726576,0.35998037697726576,7
Graylag x Swan Goose (hybrid),Spring,temperature,,,,,0
Graylag x Swan Goose (hybrid),Spring,humidity,,,,,0
Graylag x Swan Goose (hybrid),Spring,prcp,,,,,0
Great Bustard,Spring,temperature,3.0,March,-0.2471170100302032,0.2471170100302032,7
Great Bustard,Spring,humidity,4.0,April,-0.15631701731927,0.15631701731927,8
Great Bustard,Spring,prcp,4.0,April,-0.434176529370039,0.434176529370039,8
Greater Sand-Plover,Spring,temperature,5.0,May,-0.12438088113863585,0.12438088113863585,9
Greater Sand-Plover,Spring,humidity,5.0,May,-0.5742471238159346,0.5742471238159346,9
Greater Sand-Plover,Spring,prcp,5.0,May,-0.6814502220614533,0.6814502220614533,9
Greater Scaup,Spring,temperature,3.0,March,-0.3874261158593712,0.3874261158593712,5
Greater Scaup,Spring,humidity,3.0,March,0.5215349665634152,0.5215349665634152,5
Greater Scaup,Spring,prcp,3.0,March,0.6391481877931616,0.6391481877931616,5
Greater Spotted Eagle,Spring,temperature,5.0,May,0.6147563914656806,0.6147563914656806,9
Greater Spotted Eagle,Spring,humidity,3.0,March,-0.7185233423500537,0.7185233423500537,7
Greater Spotted Eagle,Spring,prcp,4.0,April,-0.31154509921420603,0.31154509921420603,9
Greater White-fronted Goose,Spring,temperature,3.0,March,-0.48358620351206444,0.48358620351206444,8
Greater White-fronted Goose,Spring,humidity,4.0,April,-0.5343882799099828,0.5343882799099828,7
Greater White-fronted Goose,Spring,prcp,4.0,April,-0.545985255536784,0.545985255536784,7
Green-backed Flycatcher,Spring,temperature,5.0,May,-0.7334473230248912,0.7334473230248912,9
Green-backed Flycatcher,Spring,humidity,4.0,April,-0.778795399342604,0.778795399342604,5
Green-backed Flycatcher,Spring,prcp,5.0,May,0.7262844986363519,0.7262844986363519,9
Gull-billed Tern,Spring,temperature,5.0,May,-0.28079794749699316,0.28079794749699316,9
Gull-billed Tern,Spring,humidity,4.0,April,0.45403549253245606,0.45403549253245606,7
Gull-billed Tern,Spring,prcp,4.0,April,0.24596499707153927,0.24596499707153927,7
Hair-crested Drongo,Spring,temperature,5.0,May,0.06818415165555859,0.06818415165555859,9
Hair-crested Drongo,Spring,humidity,5.0,May,0.3349925146118526,0.3349925146118526,9
Hair-crested Drongo,Spring,prcp,5.0,May,-0.2412659944605072,0.2412659944605072,9
Hen Harrier,Spring,temperature,3.0,March,0.5203696790373918,0.5203696790373918,9
Hen Harrier,Spring,humidity,4.0,April,0.31311471092014326,0.31311471092014326,9
Hen Harrier,Spring,prcp,5.0,May,0.31049675723578735,0.31049675723578735,9
Himalayan Owl,Spring,temperature,5.0,May,0.5720170308758007,0.5720170308758007,9
Himalayan Owl,Spring,humidity,4.0,April,-0.3598629922274942,0.3598629922274942,6
Himalayan Owl,Spring,prcp,4.0,April,-0.3205227750267831,0.3205227750267831,6
Hume's Warbler,Spring,temperature,5.0,May,-0.5049103048597251,0.5049103048597251,9
Hume's Warbler,Spring,humidity,4.0,April,-0.5783442864568339,0.5783442864568339,9
Hume's Warbler,Spring,prcp,4.0,April,-0.5790418872146055,0.5790418872146055,9
Japanese Grosbeak,Spring,temperature,,,,,0
Japanese Grosbeak,Spring,humidity,,,,,0
Japanese Grosbeak,Spring,prcp,,,,,0
Japanese Quail,Spring,temperature,4.0,April,-0.5305312349629497,0.5305312349629497,8
Japanese Quail,Spring,humidity,5.0,May,-0.8042372960305049,0.8042372960305049,9
Japanese Quail,Spring,prcp,5.0,May,-0.626425128182831,0.626425128182831,9
Kentish Plover,Spring,temperature,5.0,May,0.3706726678733125,0.3706726678733125,9
Kentish Plover,Spring,humidity,4.0,April,0.5045608216137505,0.5045608216137505,9
Kentish Plover,Spring,prcp,5.0,May,-0.47552424562272544,0.47552424562272544,9
Koklass Pheasant,Spring,temperature,5.0,May,-0.2923540023685928,0.2923540023685928,5
Koklass Pheasant,Spring,humidity,5.0,May,-0.35966043627141947,0.35966043627141947,5
Koklass Pheasant,Spring,prcp,5.0,May,-0.8659416015139663,0.8659416015139663,5
Larus sp.,Spring,temperature,,,,,0
Larus sp.,Spring,humidity,,,,,0
Larus sp.,Spring,prcp,,,,,0
Lesser Black-backed Gull,Spring,temperature,4.0,April,0.33744138672683804,0.33744138672683804,5
Lesser Black-backed Gull,Spring,humidity,3.0,March,0.5389156740546096,0.5389156740546096,7
Lesser Black-backed Gull,Spring,prcp,3.0,March,0.7321092345103073,0.7321092345103073,7
Lesser Kestrel,Spring,temperature,4.0,April,-0.49067810224071273,0.49067810224071273,6
Lesser Kestrel,Spring,humidity,4.0,April,0.31963433085314946,0.31963433085314946,6
Lesser Kestrel,Spring,prcp,4.0,April,-0.09897606655533768,0.09897606655533768,6
Lesser White-fronted Goose,Spring,temperature,3.0,March,0.6638495800275903,0.6638495800275903,5
Lesser White-fronted Goose,Spring,humidity,3.0,March,0.34289890419929003,0.34289890419929003,5
Lesser White-fronted Goose,Spring,prcp,3.0,March,0.6815873949854832,0.6815873949854832,5
Little Bunting,Spring,temperature,4.0,April,0.24044386036335422,0.24044386036335422,9
Little Bunting,Spring,humidity,5.0,May,-0.6862954943055365,0.6862954943055365,9
Little Bunting,Spring,prcp,5.0,May,-0.6666226949370609,0.6666226949370609,9
Little Curlew,Spring,temperature,,,,,0
Little Curlew,Spring,humidity,,,,,0
Little Curlew,Spring,prcp,,,,,0
Little Owl,Spring,temperature,4.0,April,0.6745482497554839,0.6745482497554839,6
Little Owl,Spring,humidity,4.0,April,0.4652790887454247,0.4652790887454247,6
Little Owl,Spring,prcp,5.0,May,0.4946514534154815,0.4946514534154815,6
Little Ringed Plover,Spring,temperature,5.0,May,0.44701558992660845,0.44701558992660845,9
